name,color,poll,total_delegates
Michael Bennet,#0039e6,0,0
Joe Biden,#009933,51,0
Cory Booker,#00ccff,1,0
Pete Buttigieg,#993399,6,0
Julian Castro,#caa200,0,0
John Delaney,#993333,0,0
Tulsi Gabbard,#ff1a75,0,0
Kirsten Gillibrand,#a3a3c2,0,0
Mike Gravel,#006699,0,0
Kamala Harris,#ff9966,11,0
John Hickenlooper,#9966ff,0,0
Jay Inslee,#ffdd99,0,0
Amy Klobuchar,#5e002f,1,0
Wayne Messam,#99ffcc,0,0
Seth Moulton,#dad1b6,0,0
Beto O'Rourke,#ff99ff,2,0
Tim Ryan,#999966,0,0
Bernie Sanders,#6699ff,24,0
Eric Swalwell,#cccc00,0,0
Elizabeth Warren,#996633,4,0
Marianne Williamson,#ffcccc,0,0
Andrew Yang,#00cc99,0,0
